pid,condition,block,trial,targetGesture,detectedGesture,minTargetLength,detectedLength,error,trialStart,touchStart,touchEnd,animationStart,animationEnd,touchPath
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,0,br,,50,0,True,267.7999999821186,1539.0999999940395,1642,1642.199999988079,2264.899999976158,"[{'touchId': 0, 'x': 235.35231018066406, 'y': 417.1428527832031, 'timestamp': 898.6999999880791}, {'touchId': 0, 'x': 235.35231018066406, 'y': 417.1428527832031, 'timestamp': 909.6999999880791}, {'touchId': 0, 'x': 235.35231018066406, 'y': 417.1428527832031, 'timestamp': 915.0999999940395}, {'touchId': 0, 'x': 235.35231018066406, 'y': 417.1428527832031, 'timestamp': 922.7999999821186}, {'touchId': 0, 'x': 235.35231018066406, 'y': 417.1428527832031, 'timestamp': 931.1999999880791}, {'touchId': 0, 'x': 235.35231018066406, 'y': 417.1428527832031, 'timestamp': 939.5999999940395}, {'touchId': 0, 'x': 235.35231018066406, 'y': 417.1428527832031, 'timestamp': 947.7999999821186}, {'touchId': 0, 'x': 242.24777221679688, 'y': 422.7046203613281, 'timestamp': 954.0999999940395}, {'touchId': 0, 'x': 263.5048522949219, 'y': 439.0096740722656, 'timestamp': 965}, {'touchId': 0, 'x': 279.390625, 'y': 450.2477722167969, 'timestamp': 973.0999999940395}, {'touchId': 0, 'x': 296.0762634277344, 'y': 460.8761291503906, 'timestamp': 981.1999999880791}, {'touchId': 0, 'x': 309.6380310058594, 'y': 469.06658935546875, 'timestamp': 989.8999999761581}, {'touchId': 0, 'x': 321.7905578613281, 'y': 476.8381652832031, 'timestamp': 998}, {'touchId': 1, 'x': 234.13319396972656, 'y': 411.390625, 'timestamp': 1542.5999999940395}, {'touchId': 1, 'x': 234.13319396972656, 'y': 411.390625, 'timestamp': 1547.3999999761581}, {'touchId': 1, 'x': 234.13319396972656, 'y': 411.390625, 'timestamp': 1555.5999999940395}, {'touchId': 1, 'x': 234.13319396972656, 'y': 411.390625, 'timestamp': 1563.8999999761581}, {'touchId': 1, 'x': 234.13319396972656, 'y': 411.390625, 'timestamp': 1572.0999999940395}, {'touchId': 1, 'x': 234.13319396972656, 'y': 411.390625, 'timestamp': 1580.5}, {'touchId': 1, 'x': 237.9810333251953, 'y': 415.1239013671875, 'timestamp': 1588.8999999761581}, {'touchId': 1, 'x': 249.94271850585938, 'y': 428.3809509277344, 'timestamp': 1597.0999999940395}, {'touchId': 1, 'x': 258.2477722167969, 'y': 441.8284912109375, 'timestamp': 1605.699999988079}, {'touchId': 1, 'x': 267.84747314453125, 'y': 449.8284912109375, 'timestamp': 1613.7999999821186}, {'touchId': 1, 'x': 280.6856384277344, 'y': 459.0476379394531, 'timestamp': 1622.3999999761581}, {'touchId': 1, 'x': 295.7715759277344, 'y': 468.0379638671875, 'timestamp': 1630.5}, {'touchId': 1, 'x': 301.9427185058594, 'y': 472.19049072265625, 'timestamp': 1638.8999999761581}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,1,tr,tr,200,254.22999591618793,False,2268.199999988079,2863.199999988079,3163.199999988079,3163.399999976158,3787.2999999821186,"[{'touchId': 0, 'x': 178.7808837890625, 'y': 427.6570129394531, 'timestamp': 2870.5999999940395}, {'touchId': 0, 'x': 178.7808837890625, 'y': 427.6570129394531, 'timestamp': 2878.899999976158}, {'touchId': 0, 'x': 178.7808837890625, 'y': 427.6570129394531, 'timestamp': 2887.199999988079}, {'touchId': 0, 'x': 178.7808837890625, 'y': 427.6570129394531, 'timestamp': 2895.399999976158}, {'touchId': 0, 'x': 178.7808837890625, 'y': 427.6570129394531, 'timestamp': 2903.899999976158}, {'touchId': 0, 'x': 178.7808837890625, 'y': 427.6570129394531, 'timestamp': 2912.199999988079}, {'touchId': 0, 'x': 181.63803100585938, 'y': 425.1428527832031, 'timestamp': 2920.5}, {'touchId': 0, 'x': 185.8668212890625, 'y': 420.9903259277344, 'timestamp': 2924.0999999940395}, {'touchId': 0, 'x': 191.16183471679688, 'y': 415.7332763671875, 'timestamp': 2928.7999999821186}, {'touchId': 0, 'x': 203.6953125, 'y': 403.88580322265625, 'timestamp': 2937.0999999940395}, {'touchId': 0, 'x': 214.93341064453125, 'y': 394.7808837890625, 'timestamp': 2945.5}, {'touchId': 0, 'x': 224.952392578125, 'y': 386.2857360839844, 'timestamp': 2953.7999999821186}, {'touchId': 0, 'x': 235.77157592773438, 'y': 377.06658935546875, 'timestamp': 2962}, {'touchId': 0, 'x': 245.561767578125, 'y': 368.3809509277344, 'timestamp': 2970.399999976158}, {'touchId': 0, 'x': 255.5048370361328, 'y': 360.1905212402344, 'timestamp': 2978.699999988079}, {'touchId': 0, 'x': 264.4189147949219, 'y': 352.7998962402344, 'timestamp': 2987.2999999821186}, {'touchId': 0, 'x': 271.84747314453125, 'y': 345.7905578613281, 'timestamp': 2995.399999976158}, {'touchId': 0, 'x': 278.28570556640625, 'y': 339.0476379394531, 'timestamp': 3003.5}, {'touchId': 0, 'x': 283.6190490722656, 'y': 332.57147216796875, 'timestamp': 3011.899999976158}, {'touchId': 0, 'x': 288.87615966796875, 'y': 326.66668701171875, 'timestamp': 3020.399999976158}, {'touchId': 0, 'x': 293.4475402832031, 'y': 320.4189147949219, 'timestamp': 3028.699999988079}, {'touchId': 0, 'x': 298.59039306640625, 'y': 314.4382629394531, 'timestamp': 3037}, {'touchId': 0, 'x': 305.18084716796875, 'y': 308.3809509277344, 'timestamp': 3045.399999976158}, {'touchId': 0, 'x': 308, 'y': 304.7239685058594, 'timestamp': 3054}, {'touchId': 0, 'x': 313.67633056640625, 'y': 297.9427185058594, 'timestamp': 3062.2999999821186}, {'touchId': 0, 'x': 322.28570556640625, 'y': 289.8668212890625, 'timestamp': 3070.699999988079}, {'touchId': 0, 'x': 328.57147216796875, 'y': 284.49517822265625, 'timestamp': 3079.199999988079}, {'touchId': 0, 'x': 335.0476379394531, 'y': 279.9237365722656, 'timestamp': 3086.899999976158}, {'touchId': 0, 'x': 340.9903259277344, 'y': 275.390625, 'timestamp': 3095.2999999821186}, {'touchId': 0, 'x': 347.6953125, 'y': 271.54278564453125, 'timestamp': 3103.699999988079}, {'touchId': 0, 'x': 351.7332763671875, 'y': 269.9047546386719, 'timestamp': 3112.0999999940395}, {'touchId': 0, 'x': 358.01898193359375, 'y': 267.390625, 'timestamp': 3120.0999999940395}, {'touchId': 0, 'x': 362.36199951171875, 'y': 265.257080078125, 'timestamp': 3128.399999976158}, {'touchId': 0, 'x': 365.9047546386719, 'y': 263.84747314453125, 'timestamp': 3137}, {'touchId': 0, 'x': 367.8095397949219, 'y': 262.93341064453125, 'timestamp': 3145.199999988079}, {'touchId': 0, 'x': 369.7522277832031, 'y': 261.9047546386719, 'timestamp': 3153.899999976158}, {'touchId': 0, 'x': 370.8571472167969, 'y': 261.10491943359375, 'timestamp': 3162.199999988079}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,2,tr,tr,200,229.4771854656799,False,3789.2999999821186,4340.5,4647.399999976158,4647.899999976158,5269.299999982119,"[{'touchId': 0, 'x': 179.00967407226562, 'y': 427.7715759277344, 'timestamp': 4343.199999988079}, {'touchId': 0, 'x': 179.00967407226562, 'y': 427.7715759277344, 'timestamp': 4344.199999988079}, {'touchId': 0, 'x': 179.00967407226562, 'y': 427.7715759277344, 'timestamp': 4352.0999999940395}, {'touchId': 0, 'x': 179.00967407226562, 'y': 427.7715759277344, 'timestamp': 4360.399999976158}, {'touchId': 0, 'x': 179.00967407226562, 'y': 427.7715759277344, 'timestamp': 4368.899999976158}, {'touchId': 0, 'x': 179.00967407226562, 'y': 427.7715759277344, 'timestamp': 4377}, {'touchId': 0, 'x': 179.00967407226562, 'y': 427.7715759277344, 'timestamp': 4385.699999988079}, {'touchId': 0, 'x': 184.26673889160156, 'y': 422.32366943359375, 'timestamp': 4393.799999982119}, {'touchId': 0, 'x': 188.91444396972656, 'y': 418.2477722167969, 'timestamp': 4399.199999988079}, {'touchId': 0, 'x': 193.37127685546875, 'y': 413.7905578613281, 'timestamp': 4402.5999999940395}, {'touchId': 0, 'x': 199.84747314453125, 'y': 409.1428527832031, 'timestamp': 4410.299999982119}, {'touchId': 0, 'x': 214.01898193359375, 'y': 397.5238037109375, 'timestamp': 4418.799999982119}, {'touchId': 0, 'x': 223.61904907226562, 'y': 390.1331787109375, 'timestamp': 4427}, {'touchId': 0, 'x': 241.7522430419922, 'y': 376.0762634277344, 'timestamp': 4435.399999976158}, {'touchId': 0, 'x': 248.4188995361328, 'y': 370.8951110839844, 'timestamp': 4443.699999988079}, {'touchId': 0, 'x': 262.1331787109375, 'y': 360.87615966796875, 'timestamp': 4452.199999988079}, {'touchId': 0, 'x': 275.9237365722656, 'y': 351.8858337402344, 'timestamp': 4460.399999976158}, {'touchId': 0, 'x': 288.3809509277344, 'y': 344.609375, 'timestamp': 4468.5999999940395}, {'touchId': 0, 'x': 298.3999328613281, 'y': 337.71429443359375, 'timestamp': 4477}, {'touchId': 0, 'x': 304.57147216796875, 'y': 332.15252685546875, 'timestamp': 4485.5999999940395}, {'touchId': 0, 'x': 309.6380310058594, 'y': 327.0855712890625, 'timestamp': 4493.799999982119}, {'touchId': 0, 'x': 315.3143615722656, 'y': 322.01898193359375, 'timestamp': 4501.899999976158}, {'touchId': 0, 'x': 319.6570129394531, 'y': 317.06658935546875, 'timestamp': 4510.399999976158}, {'touchId': 0, 'x': 324.4189147949219, 'y': 311.2001647949219, 'timestamp': 4518.699999988079}, {'touchId': 0, 'x': 330.1715087890625, 'y': 306.1331787109375, 'timestamp': 4527.0999999940395}, {'touchId': 0, 'x': 334.7429504394531, 'y': 301.6000671386719, 'timestamp': 4535.5999999940395}, {'touchId': 0, 'x': 338.66668701171875, 'y': 297.1428527832031, 'timestamp': 4543.899999976158}, {'touchId': 0, 'x': 342.2094421386719, 'y': 294.2094421386719, 'timestamp': 4552.399999976158}, {'touchId': 0, 'x': 344.2284240722656, 'y': 292.49517822265625, 'timestamp': 4560.5999999940395}, {'touchId': 0, 'x': 345.7522277832031, 'y': 290.97137451171875, 'timestamp': 4569}, {'touchId': 0, 'x': 347.1618347167969, 'y': 289.8668212890625, 'timestamp': 4577.399999976158}, {'touchId': 0, 'x': 348.19049072265625, 'y': 289.0286560058594, 'timestamp': 4585.699999988079}, {'touchId': 0, 'x': 349.6000671386719, 'y': 288.1142272949219, 'timestamp': 4594.5999999940395}, {'touchId': 0, 'x': 350.32366943359375, 'y': 287.7332763671875, 'timestamp': 4602.299999982119}, {'touchId': 0, 'x': 351.1239013671875, 'y': 287.4285888671875, 'timestamp': 4610.699999988079}, {'touchId': 0, 'x': 351.9237365722656, 'y': 287.1239013671875, 'timestamp': 4619}, {'touchId': 0, 'x': 353.3333435058594, 'y': 286.7046203613281, 'timestamp': 4627.199999988079}, {'touchId': 0, 'x': 353.7522277832031, 'y': 286.5141296386719, 'timestamp': 4635.899999976158}, {'touchId': 0, 'x': 358.32366943359375, 'y': 284.57147216796875, 'timestamp': 4644}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,3,tl,tl,50,70.8358190332277,False,5272.0999999940395,5856.299999982119,5935.399999976158,5935.5999999940395,7557.5,"[{'touchId': 0, 'x': 193.18080139160156, 'y': 371.6953125, 'timestamp': 5857.299999982119}, {'touchId': 0, 'x': 193.18080139160156, 'y': 371.6953125, 'timestamp': 5867.199999988079}, {'touchId': 0, 'x': 193.18080139160156, 'y': 371.6953125, 'timestamp': 5875.399999976158}, {'touchId': 0, 'x': 190.13319396972656, 'y': 370.0952453613281, 'timestamp': 5884.0999999940395}, {'touchId': 0, 'x': 184.87611389160156, 'y': 367.1618347167969, 'timestamp': 5886.399999976158}, {'touchId': 0, 'x': 179.390625, 'y': 364.343017578125, 'timestamp': 5892.5999999940395}, {'touchId': 0, 'x': 165.25706481933594, 'y': 356.5334777832031, 'timestamp': 5900.699999988079}, {'touchId': 0, 'x': 153.29539489746094, 'y': 349.0286560058594, 'timestamp': 5908.799999982119}, {'touchId': 0, 'x': 140.1904754638672, 'y': 347.9237365722656, 'timestamp': 5917.5999999940395}, {'touchId': 0, 'x': 130.81919860839844, 'y': 348.2284240722656, 'timestamp': 5925.5}, {'touchId': 0, 'x': 126.0952377319336, 'y': 348.952392578125, 'timestamp': 5933.899999976158}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,4,tl,tl,50,87.29401881037114,False,7558.899999976158,8128.0999999940395,8217.399999976158,8217.59999999404,9838.299999982119,"[{'touchId': 0, 'x': 205.71429443359375, 'y': 376.45721435546875, 'timestamp': 8130.299999982119}, {'touchId': 0, 'x': 205.71429443359375, 'y': 376.45721435546875, 'timestamp': 8139.399999976158}, {'touchId': 0, 'x': 205.71429443359375, 'y': 376.45721435546875, 'timestamp': 8147.5999999940395}, {'touchId': 0, 'x': 205.71429443359375, 'y': 376.45721435546875, 'timestamp': 8155.899999976158}, {'touchId': 0, 'x': 198.43824768066406, 'y': 372.3046875, 'timestamp': 8163}, {'touchId': 0, 'x': 186.0952606201172, 'y': 365.6380310058594, 'timestamp': 8172.399999976158}, {'touchId': 0, 'x': 172.53347778320312, 'y': 357.8668212890625, 'timestamp': 8180.899999976158}, {'touchId': 0, 'x': 159.35231018066406, 'y': 349.6380310058594, 'timestamp': 8189.299999982119}, {'touchId': 0, 'x': 143.2760467529297, 'y': 347.54278564453125, 'timestamp': 8197.699999988079}, {'touchId': 0, 'x': 131.73326110839844, 'y': 346.62872314453125, 'timestamp': 8205.899999976158}, {'touchId': 0, 'x': 123.42857360839844, 'y': 347.3143615722656, 'timestamp': 8214.199999988079}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,5,bl,bl,200,259.29146155328846,False,9840.299999982119,10340.399999976158,10600.899999976158,10601.399999976158,12226.899999976158,"[{'touchId': 0, 'x': 250.55245971679688, 'y': 363.0096740722656, 'timestamp': 10341.899999976158}, {'touchId': 0, 'x': 250.55245971679688, 'y': 363.0096740722656, 'timestamp': 10345.09999999404}, {'touchId': 0, 'x': 250.55245971679688, 'y': 363.0096740722656, 'timestamp': 10353}, {'touchId': 0, 'x': 250.55245971679688, 'y': 363.0096740722656, 'timestamp': 10361.299999982119}, {'touchId': 0, 'x': 250.55245971679688, 'y': 363.0096740722656, 'timestamp': 10369.799999982119}, {'touchId': 0, 'x': 246.8950958251953, 'y': 365.5238037109375, 'timestamp': 10378.09999999404}, {'touchId': 0, 'x': 241.21913146972656, 'y': 370.2857360839844, 'timestamp': 10381.299999982119}, {'touchId': 0, 'x': 234.9713592529297, 'y': 374.93341064453125, 'timestamp': 10386.299999982119}, {'touchId': 0, 'x': 220, 'y': 386.7808837890625, 'timestamp': 10394.59999999404}, {'touchId': 0, 'x': 207.92373657226562, 'y': 395.5048522949219, 'timestamp': 10402.799999982119}, {'touchId': 0, 'x': 194.9713592529297, 'y': 408.0379638671875, 'timestamp': 10411.399999976158}, {'touchId': 0, 'x': 180.4188995361328, 'y': 424.952392578125, 'timestamp': 10419.699999988079}, {'touchId': 0, 'x': 167.5811004638672, 'y': 442.36199951171875, 'timestamp': 10427.799999982119}, {'touchId': 0, 'x': 155.92373657226562, 'y': 457.6380310058594, 'timestamp': 10436.199999988079}, {'touchId': 0, 'x': 146.62872314453125, 'y': 472.3046875, 'timestamp': 10444.699999988079}, {'touchId': 0, 'x': 138.62872314453125, 'y': 484.5334777832031, 'timestamp': 10453.5}, {'touchId': 0, 'x': 131.96205139160156, 'y': 495.1618347167969, 'timestamp': 10461.199999988079}, {'touchId': 0, 'x': 126.66667175292969, 'y': 504.2667541503906, 'timestamp': 10469.5}, {'touchId': 0, 'x': 122.55245971679688, 'y': 512.0762939453125, 'timestamp': 10477.899999976158}, {'touchId': 0, 'x': 118.7808837890625, 'y': 518.9334106445312, 'timestamp': 10486.09999999404}, {'touchId': 0, 'x': 115.54278564453125, 'y': 526.247802734375, 'timestamp': 10494.5}, {'touchId': 0, 'x': 112.11421203613281, 'y': 532.1141967773438, 'timestamp': 10503.299999982119}, {'touchId': 0, 'x': 109.2953872680664, 'y': 537.4475708007812, 'timestamp': 10511.399999976158}, {'touchId': 0, 'x': 107.23809814453125, 'y': 543.3143920898438, 'timestamp': 10519.399999976158}, {'touchId': 0, 'x': 105.14286041259766, 'y': 547.5811157226562, 'timestamp': 10527.699999988079}, {'touchId': 0, 'x': 103.46652221679688, 'y': 551.5427856445312, 'timestamp': 10537.199999988079}, {'touchId': 0, 'x': 102.81919860839844, 'y': 553.0286865234375, 'timestamp': 10545}, {'touchId': 0, 'x': 100.49516296386719, 'y': 557.90478515625, 'timestamp': 10553.699999988079}, {'touchId': 0, 'x': 99.65699768066406, 'y': 559.2380981445312, 'timestamp': 10561.59999999404}, {'touchId': 0, 'x': 98.43824768066406, 'y': 561.6380615234375, 'timestamp': 10569.899999976158}, {'touchId': 0, 'x': 96.83818054199219, 'y': 564.7998657226562, 'timestamp': 10577.899999976158}, {'touchId': 0, 'x': 95.20014953613281, 'y': 568.1141967773438, 'timestamp': 10586.799999982119}, {'touchId': 0, 'x': 95.12388610839844, 'y': 570.552490234375, 'timestamp': 10594.899999976158}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,6,br,br,50,76.23263242764884,False,12229,12684.799999982119,12779.199999988079,12779.399999976158,13399.399999976158,"[{'touchId': 0, 'x': 236.4951629638672, 'y': 424.4189147949219, 'timestamp': 12692.399999976158}, {'touchId': 0, 'x': 236.4951629638672, 'y': 424.4189147949219, 'timestamp': 12700.5}, {'touchId': 0, 'x': 236.4951629638672, 'y': 424.4189147949219, 'timestamp': 12708.299999982119}, {'touchId': 0, 'x': 239.73326110839844, 'y': 428.6856384277344, 'timestamp': 12716.699999988079}, {'touchId': 0, 'x': 244.38095092773438, 'y': 434.97137451171875, 'timestamp': 12721.5}, {'touchId': 0, 'x': 249.21913146972656, 'y': 440.4189147949219, 'timestamp': 12725.699999988079}, {'touchId': 0, 'x': 257.9427185058594, 'y': 451.9620666503906, 'timestamp': 12733.299999982119}, {'touchId': 0, 'x': 262.9713439941406, 'y': 458.5524597167969, 'timestamp': 12741.59999999404}, {'touchId': 0, 'x': 268.76190185546875, 'y': 465.60009765625, 'timestamp': 12750.09999999404}, {'touchId': 0, 'x': 274.93341064453125, 'y': 471.27606201171875, 'timestamp': 12758.59999999404}, {'touchId': 0, 'x': 278.66668701171875, 'y': 474.4382629394531, 'timestamp': 12766.59999999404}, {'touchId': 0, 'x': 286.7808837890625, 'y': 481.71429443359375, 'timestamp': 12775}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,7,bl,bl,200,268.23529275360346,False,13402.09999999404,13970.59999999404,14242.199999988079,14242.799999982119,15863.399999976158,"[{'touchId': 0, 'x': 250.70462036132812, 'y': 367.96209716796875, 'timestamp': 13971.799999982119}, {'touchId': 0, 'x': 250.70462036132812, 'y': 367.96209716796875, 'timestamp': 13974}, {'touchId': 0, 'x': 250.70462036132812, 'y': 367.96209716796875, 'timestamp': 13983}, {'touchId': 0, 'x': 250.70462036132812, 'y': 367.96209716796875, 'timestamp': 13990.59999999404}, {'touchId': 0, 'x': 250.70462036132812, 'y': 367.96209716796875, 'timestamp': 13998.899999976158}, {'touchId': 0, 'x': 246.70462036132812, 'y': 369.7905578613281, 'timestamp': 14007.299999982119}, {'touchId': 0, 'x': 239.8095245361328, 'y': 372.9144287109375, 'timestamp': 14010.899999976158}, {'touchId': 0, 'x': 233.33334350585938, 'y': 375.6570129394531, 'timestamp': 14016}, {'touchId': 0, 'x': 217.94271850585938, 'y': 379.5048522949219, 'timestamp': 14024.09999999404}, {'touchId': 0, 'x': 206.20945739746094, 'y': 384.45721435546875, 'timestamp': 14032.899999976158}, {'touchId': 0, 'x': 193.37127685546875, 'y': 393.6763610839844, 'timestamp': 14040.5}, {'touchId': 0, 'x': 178.89511108398438, 'y': 405.71429443359375, 'timestamp': 14048.899999976158}, {'touchId': 0, 'x': 165.63803100585938, 'y': 419.88580322265625, 'timestamp': 14057.59999999404}, {'touchId': 0, 'x': 152.57142639160156, 'y': 432.952392578125, 'timestamp': 14065.5}, {'touchId': 0, 'x': 141.75222778320312, 'y': 445.29541015625, 'timestamp': 14074}, {'touchId': 0, 'x': 130.8950958251953, 'y': 456.609375, 'timestamp': 14082.5}, {'touchId': 0, 'x': 121.71428680419922, 'y': 468.952392578125, 'timestamp': 14090.59999999404}, {'touchId': 0, 'x': 114.24777221679688, 'y': 480.19049072265625, 'timestamp': 14099.09999999404}, {'touchId': 0, 'x': 111.00967407226562, 'y': 484.343017578125, 'timestamp': 14107.199999988079}, {'touchId': 0, 'x': 102.81919860839844, 'y': 497.90478515625, 'timestamp': 14115.59999999404}, {'touchId': 0, 'x': 100.19047546386719, 'y': 501.7522277832031, 'timestamp': 14123.799999982119}, {'touchId': 0, 'x': 93.4858627319336, 'y': 510.8571472167969, 'timestamp': 14132.199999988079}, {'touchId': 0, 'x': 91.6570053100586, 'y': 513.90478515625, 'timestamp': 14140.399999976158}, {'touchId': 0, 'x': 88.11421203613281, 'y': 519.047607421875, 'timestamp': 14148.899999976158}, {'touchId': 0, 'x': 83.16183471679688, 'y': 525.4096069335938, 'timestamp': 14157.899999976158}, {'touchId': 0, 'x': 81.63802337646484, 'y': 527.352294921875, 'timestamp': 14166.199999988079}, {'touchId': 0, 'x': 79.12388610839844, 'y': 531.0855712890625, 'timestamp': 14174.699999988079}, {'touchId': 0, 'x': 76.57142639160156, 'y': 534.8192138671875, 'timestamp': 14182.299999982119}, {'touchId': 0, 'x': 74.05729675292969, 'y': 538.2857055664062, 'timestamp': 14190.899999976158}, {'touchId': 0, 'x': 71.50483703613281, 'y': 541.60009765625, 'timestamp': 14199.5}, {'touchId': 0, 'x': 69.52381134033203, 'y': 544.8381958007812, 'timestamp': 14207.299999982119}, {'touchId': 0, 'x': 68, 'y': 547.5811157226562, 'timestamp': 14217.09999999404}, {'touchId': 0, 'x': 65.98102569580078, 'y': 551.1239013671875, 'timestamp': 14224.09999999404}, {'touchId': 0, 'x': 64.64769744873047, 'y': 556.3809814453125, 'timestamp': 14232.699999988079}, {'touchId': 0, 'x': 63.3523063659668, 'y': 559.9237670898438, 'timestamp': 14241.199999988079}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,8,bl,bl,200,251.7948745382572,False,15864.899999976158,16383.299999982119,16598.5,16598.69999998808,18218.19999998808,"[{'touchId': 0, 'x': 250.24777221679688, 'y': 354.2094421386719, 'timestamp': 16385.79999998212}, {'touchId': 0, 'x': 250.24777221679688, 'y': 354.2094421386719, 'timestamp': 16395}, {'touchId': 0, 'x': 250.24777221679688, 'y': 354.2094421386719, 'timestamp': 16403.09999999404}, {'touchId': 0, 'x': 239.92373657226562, 'y': 360.3809509277344, 'timestamp': 16410.09999999404}, {'touchId': 0, 'x': 225.94271850585938, 'y': 368.9903259277344, 'timestamp': 16419.79999998212}, {'touchId': 0, 'x': 212, 'y': 376.26678466796875, 'timestamp': 16428.59999999404}, {'touchId': 0, 'x': 199.73326110839844, 'y': 384.57147216796875, 'timestamp': 16436.59999999404}, {'touchId': 0, 'x': 185.06658935546875, 'y': 397.9047546386719, 'timestamp': 16445}, {'touchId': 0, 'x': 170.20945739746094, 'y': 413.6000671386719, 'timestamp': 16453.5}, {'touchId': 0, 'x': 156.1142120361328, 'y': 427.7715759277344, 'timestamp': 16461.69999998808}, {'touchId': 0, 'x': 145.71429443359375, 'y': 439.1239013671875, 'timestamp': 16470}, {'touchId': 0, 'x': 136.99032592773438, 'y': 448.609375, 'timestamp': 16478.29999998212}, {'touchId': 0, 'x': 129.0286407470703, 'y': 456.79986572265625, 'timestamp': 16486.5}, {'touchId': 0, 'x': 121.82849884033203, 'y': 464.49517822265625, 'timestamp': 16494.69999998808}, {'touchId': 0, 'x': 115.46652221679688, 'y': 471.6953125, 'timestamp': 16503.29999998212}, {'touchId': 0, 'x': 110.28571319580078, 'y': 477.9810485839844, 'timestamp': 16511.29999998212}, {'touchId': 0, 'x': 106.05729675292969, 'y': 483.3143615722656, 'timestamp': 16519.899999976158}, {'touchId': 0, 'x': 102.28571319580078, 'y': 489.10491943359375, 'timestamp': 16528}, {'touchId': 0, 'x': 98.74293518066406, 'y': 493.8668212890625, 'timestamp': 16536.79999998212}, {'touchId': 0, 'x': 94.59040069580078, 'y': 498.8192138671875, 'timestamp': 16544.5}, {'touchId': 0, 'x': 89.25707244873047, 'y': 504.76190185546875, 'timestamp': 16552.899999976158}, {'touchId': 0, 'x': 84.87611389160156, 'y': 510.93341064453125, 'timestamp': 16560.899999976158}, {'touchId': 0, 'x': 80.76190948486328, 'y': 517.9426879882812, 'timestamp': 16569.29999998212}, {'touchId': 0, 'x': 77.52381134033203, 'y': 524.7239379882812, 'timestamp': 16577.79999998212}, {'touchId': 0, 'x': 75.390625, 'y': 531.6953125, 'timestamp': 16586.399999976158}, {'touchId': 0, 'x': 73.86681365966797, 'y': 533.90478515625, 'timestamp': 16594.59999999404}]"
358c16fd-8593-4db9-ad0f-fa69251ac0af,-,0,9,tl,tl,50,69.2262868839701,False,18220.19999998808,18731.29999998212,18808.19999998808,18808.399999976158,20424.29999998212,"[{'touchId': 0, 'x': 204.68563842773438, 'y': 379.390625, 'timestamp': 18734}, {'touchId': 0, 'x': 204.68563842773438, 'y': 379.390625, 'timestamp': 18742.399999976158}, {'touchId': 0, 'x': 204.68563842773438, 'y': 379.390625, 'timestamp': 18750.69999998808}, {'touchId': 0, 'x': 204.68563842773438, 'y': 379.390625, 'timestamp': 18759}, {'touchId': 0, 'x': 198.01898193359375, 'y': 375.3523254394531, 'timestamp': 18767.29999998212}, {'touchId': 0, 'x': 193.7905731201172, 'y': 372.609375, 'timestamp': 18770.79999998212}, {'touchId': 0, 'x': 188.72396850585938, 'y': 368.87615966796875, 'timestamp': 18775.59999999404}, {'touchId': 0, 'x': 174.6666717529297, 'y': 360.1905212402344, 'timestamp': 18784.09999999404}, {'touchId': 0, 'x': 163.2001495361328, 'y': 355.1239013671875, 'timestamp': 18792.29999998212}, {'touchId': 0, 'x': 148.76190185546875, 'y': 352.3809509277344, 'timestamp': 18800.79999998212}, {'touchId': 0, 'x': 141.56175231933594, 'y': 350.97137451171875, 'timestamp': 18808.09999999404}]"
